number,url,race,subrace,gender,haircolor,skincolor,clothing,hairstyle,weapon,exoskeleton,accessory
0,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/0.png,Human,Cultivator,Male,Brown,Yellow,Taoist Robe,Bun,Kris,,
1,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/1.png,Humanoid,Frostborn,Female,Light Purple,Snow White,Snowflake Long Skirt,Ice Crystal Curly,Ice Scale Shield,,Ice Earrings
2,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/2.png,Human,Techie,Male,Metallic Gold,White,Power Armor,Mohawk,Vibrating Blade Sword,,
3,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/3.png,Human,Mage,Male,Blue,Yellow,Mystic Robe,Twin Braids,Elemental Scepter,,
4,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/4.png,Humanoid,Pyronians,Male,Orange,Reddish Bronze,Blazing Golden Robe,Ponytail,Sunfire Bow,,Flame Necklace
5,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/5.png,Humanoid,Winged,Female,Sky Blue,Cloud White,Velvet Robe,Braided Feather Crown,Wind Arrow,White Wings,Gem Bracelet
6,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/6.png,Human,Mage,Female,Dawn Red,White,Wizard Robe,Magic Flame Bun,Magic Circle,,
7,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/7.png,Human,Warrior,Female,Blonde,Bronze,Battle Armor,Samurai Bun,Bow And Arrow,,
8,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/8.png,Human,Warrior,Female,Blonde,White,Battle Armor,Ponytail,Battle Axe,,Helmet
9,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/9.png,Human,Cultivator,Female,White,Yellow,Monastic Habit,Bun,Chain,,Cloak
10,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/10.png,Humanoid,Frostborn,Female,Light Purple,Ice Blue,Ice Crystal Armor,Snowflake Crown,Snowy Wand,,Ice Earrings
11,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/11.png,Human,Cultivator,Female,Brown,Yellow,Monastic Habit,Bun,Mace,,Hairpin
12,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/12.png,Human,Mage,Male,Purple,Rose Pink,Wizard Robe,Magic Flame Bun,Spellbook,,Pendant Chain
13,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/13.png,Human,Warrior,Male,Brown,White,Battle Armor,Short,Katana,,
14,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/14.png,Human,Techie,Female,Metallic Gold,Yellow,Fly Armor,Braid,Vibrating Blade Sword,,
15,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/15.png,Human,Cultivator,Male,White,Yellow,Monastic Habit,Bun,Chain,,Pendant
16,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/16.png,Humanoid,Frostborn,Female,Light Purple,Snow White,Snowflake Long Skirt,Ice Crystal Curly,Snowflake Dart,,Ice Earrings
17,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/17.png,Humanoid,Frostborn,Female,Light Purple,Ice Blue,Frost Patterned Jacket,Long Straight,Ice Crystal Sword,,Frost Flower Ring
18,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/18.png,Human,Warrior,Female,Blonde,Bronze,Samurai Robe,Ponytail,Dual Blades,,
19,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/19.png,Human,Warrior,Female,Black,Bronze,Samurai Robe,Samurai Bun,Katana,,Helmet
20,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/20.png,Human,Mage,Female,Dawn Red,Yellow,Mystic Robe,Short,Spellbook,,Cloak
21,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/21.png,Human,Cultivator,Male,Blonde,White,Monastic Habit,Short,Daoist Sword,,
22,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/22.png,Humanoid,Nightshade,Female,Fluorescent Purple,Light Green,Night Cloak,Straight,Night Dart,Eclipsion Wings,Shadow Earrings
23,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/23.png,Humanoid,Winged,Female,Moon Silver,Cloud White,Gauze Dress,Bun,Light Staff,Blue Wings,Gem Bracelet
24,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/24.png,Humanoid,Frostborn,Female,Ice Blue,Ice Blue,Snowflake Long Skirt,Long Straight,Snowflake Dart,,Ice Earrings
25,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/25.png,Human,Warrior,Female,Brown,White,Samurai Robe,Samurai Bun,Warhammer,,
26,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/26.png,Human,Warrior,Male,Black,White,Samurai Robe,Samurai Bun,Dual Blades,,
27,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/27.png,Human,Cultivator,Female,Blonde,White,Taoist Robe,Bun,Kris,,
28,https://bafybeiaozt3m3p4o23iedvll3qecws4atdn5brsa7jur7xaavdq2oqs7iq.ipfs.nftstorage.link/28.png,Human,Techie,Male,Metallic Gold,Yellow,Electromagnetic Armor,Braid,Energy Sword,,
